name,fixture,minutes,opponent_team,round,total_points,value,was_home,GW
Claudio_Bravo_213,8,0,19,1,0,50,FALSE,1
Connor_Wickham_130,4,7,8,1,1,45,TRUE,1
Conor_Coady_403,5,90,9,1,6,50,FALSE,1
Conor_Hourihane_28,6,81,17,1,2,60,FALSE,1
Craig_Cathcart_358,7,90,4,1,1,45,TRUE,1
Craig_Dawson_439,7,90,4,1,1,50,TRUE,1
Cédric_Soares_486,3,0,5,1,0,50,FALSE,1
César_Azpilicueta_105,9,90,12,1,0,60,FALSE,1
Dale_Stephens_57,7,90,18,1,3,45,FALSE,1
Daniel_Amartey_178,5,0,20,1,0,45,TRUE,1
Daniel_Ceballos Fernández_469,10,26,13,1,1,55,FALSE,1
Daniel_Drinkwater_120,3,0,16,1,0,45,TRUE,1
Daniel_James_243,9,16,6,1,6,60,TRUE,1
Danilo Luiz_da Silva_209,8,0,19,1,0,50,FALSE,1
Danny_Ings_313,3,65,5,1,2,60,FALSE,1
Danny_Rose_332,6,90,2,1,2,55,TRUE,1
Danny_Ward_170,5,0,20,1,0,45,TRUE,1
Danny_Welbeck_512,7,0,4,1,0,60,TRUE,1
Dan_Burn_475,7,90,18,1,6,45,FALSE,1
Dan_Gosling_81,2,0,15,1,0,50,TRUE,1
Daryl_Janmaat_359,7,0,4,1,0,45,TRUE,1
Davide_Zappacosta_109,9,0,12,1,0,45,FALSE,1
David_Brooks_76,2,0,15,1,0,65,TRUE,1
David_Button_48,7,0,18,1,0,40,FALSE,1
David_de Gea_235,9,90,6,1,10,55,TRUE,1
David_Luiz Moreira Marinho_106,10,0,13,1,0,60,FALSE,1
David_McGoldrick_303,2,62,3,1,2,55,FALSE,1
David_Silva_219,8,79,19,1,3,75,FALSE,1
Davinson_Sánchez_333,6,90,2,1,2,55,TRUE,1
Davy_Pröpper_54,7,90,18,1,6,50,FALSE,1
DeAndre_Yedlin_253,10,0,1,1,0,45,TRUE,1
Dean_Henderson_471,2,90,3,1,2,45,FALSE,1
Declan_Rice_395,8,90,11,1,2,50,TRUE,1
Dejan_Lovren_186,1,0,14,1,0,55,TRUE,1
Demarai_Gray_175,5,0,20,1,0,55,TRUE,1
Dennis_Praet_517,5,0,20,1,0,55,TRUE,1
Dennis_Srbeny_279,1,0,10,1,0,55,FALSE,1
Diego_Rico_65,2,90,15,1,2,40,TRUE,1
Diogo_Jota_410,5,75,9,1,2,65,FALSE,1
Divock_Origi_188,1,73,14,1,12,55,TRUE,1
Djibril_Sidibé_511,4,0,7,1,0,55,FALSE,1
Domingos_Quina_375,7,0,4,1,0,45,TRUE,1
Dominic_Calvert-Lewin_147,4,68,7,1,2,60,FALSE,1
Dominic_Solanke_69,2,1,15,1,1,55,TRUE,1
Douglas Luiz_Soares de Paulo_470,6,8,17,1,1,45,FALSE,1
Dwight_McNeil_97,3,83,16,1,3,60,TRUE,1
Ederson_Santana de Moraes_212,8,90,19,1,7,60,FALSE,1
Edward_Nketiah_13,10,0,13,1,0,45,FALSE,1
Eldin_Jakupovic_169,5,0,20,1,0,45,TRUE,1
Emerson_Palmieri dos Santos_107,9,90,12,1,0,55,FALSE,1
Emiliano_Buendía_283,1,90,10,1,4,60,FALSE,1
Emiliano_Martínez_427,10,0,13,1,0,45,FALSE,1
Emil_Krafth_519,10,0,1,1,0,45,TRUE,1
Enda_Stevens_291,2,90,3,1,2,50,FALSE,1
Eric_Bailly_228,9,0,6,1,0,50,TRUE,1
